time,simulation,state,bias,estimate,method,truth
1825,16,3,-0.012563532032601715,0.08270046796739829,Aalen-Johansen,0.095264
365,17,1,-0.016161754511821558,0.9334172454881784,Aalen-Johansen,0.949579
365,17,2,0.00518017211919012,0.03809817211919012,Aalen-Johansen,0.032918
365,17,3,0.010981582392631278,0.02848458239263128,Aalen-Johansen,0.017503
730,17,1,-0.010325645769010405,0.9089993542309895,Aalen-Johansen,0.919325
730,17,2,0.004956058576017969,0.04767005857601797,Aalen-Johansen,0.042714
730,17,3,0.005369587192992076,0.04333058719299208,Aalen-Johansen,0.037961
1095,17,1,-0.007947005038368982,0.881203994961631,Aalen-Johansen,0.889151
1095,17,2,0.012842271280008984,0.06183027128000898,Aalen-Johansen,0.048988
1095,17,3,-0.004895266241640384,0.056965733758359616,Aalen-Johansen,0.061861
1460,17,1,-0.006957537942288372,0.8595034620577117,Aalen-Johansen,0.866461
1460,17,2,0.013554247233635228,0.06839324723363523,Aalen-Johansen,0.054839
1460,17,3,-0.006596709291347175,0.07210329070865282,Aalen-Johansen,0.07869999999999999
1825,17,1,-0.027077179934361872,0.8173688200656382,Aalen-Johansen,0.844446
1825,17,2,0.021433674945168714,0.08172367494516872,Aalen-Johansen,0.06029
1825,17,3,0.005643504989192791,0.10090750498919279,Aalen-Johansen,0.095264
365,18,1,-0.021252350111305884,0.9283266498886941,Aalen-Johansen,0.949579
365,18,2,0.0052519309588911975,0.0381699309588912,Aalen-Johansen,0.032918
365,18,3,0.016000419152414732,0.03350341915241473,Aalen-Johansen,0.017503
730,18,1,-0.010965557790320268,0.9083594422096797,Aalen-Johansen,0.919325
730,18,2,-0.008988474620920443,0.03372552537907956,Aalen-Johansen,0.042714
730,18,3,0.019954032411240767,0.05791503241124077,Aalen-Johansen,0.037961
1095,18,1,-0.007078795808895921,0.8820722041911041,Aalen-Johansen,0.889151
1095,18,2,-0.01200425926126545,0.03698374073873455,Aalen-Johansen,0.048988
1095,18,3,0.01908305507016135,0.08094405507016135,Aalen-Johansen,0.061861
1460,18,1,0.004718918190585009,0.871179918190585,Aalen-Johansen,0.866461
1460,18,2,-0.01224636479485125,0.04259263520514875,Aalen-Johansen,0.054839
1460,18,3,0.007527446604266297,0.08622744660426629,Aalen-Johansen,0.07869999999999999
1825,18,1,-0.0025207245482093965,0.8419252754517906,Aalen-Johansen,0.844446
1825,18,2,-0.006323007870440808,0.053966992129559195,Aalen-Johansen,0.06029
1825,18,3,0.00884373241865033,0.10410773241865033,Aalen-Johansen,0.095264
365,19,1,0.019094233581363418,0.9686732335813634,Aalen-Johansen,0.949579
365,19,2,-0.008518105783578069,0.024399894216421934,Aalen-Johansen,0.032918
365,19,3,-0.010576127797785299,0.006926872202214702,Aalen-Johansen,0.017503
730,19,1,0.0184564093200682,0.9377814093200681,Aalen-Johansen,0.919325
730,19,2,-0.003647684063722907,0.039066315936277095,Aalen-Johansen,0.042714
730,19,3,-0.014808725256345322,0.02315227474365468,Aalen-Johansen,0.037961
1095,19,1,0.003102734813856478,0.8922537348138565,Aalen-Johansen,0.889151
1095,19,2,0.01080440799251546,0.05979240799251546,Aalen-Johansen,0.048988
1095,19,3,-0.013907142806372168,0.04795385719362783,Aalen-Johansen,0.061861
1460,19,1,0.0050856497170435055,0.8715466497170435,Aalen-Johansen,0.866461
1460,19,2,0.013882844774981778,0.06872184477498178,Aalen-Johansen,0.054839
1460,19,3,-0.01896849449202568,0.05973150550797431,Aalen-Johansen,0.07869999999999999
1825,19,1,-0.002896397236038517,0.8415496027639615,Aalen-Johansen,0.844446
1825,19,2,0.00427751571745625,0.06456751571745625,Aalen-Johansen,0.06029
1825,19,3,-0.001381118481418156,0.09388288151858185,Aalen-Johansen,0.095264
365,20,1,-0.027471360036793513,0.9221076399632064,Aalen-Johansen,0.949579
365,20,2,0.0231804675911379,0.0560984675911379,Aalen-Johansen,0.032918
365,20,3,0.004290892445655642,0.021793892445655643,Aalen-Johansen,0.017503
730,20,1,-0.026229123130963594,0.8930958768690364,Aalen-Johansen,0.919325
730,20,2,0.01698063857605242,0.05969463857605242,Aalen-Johansen,0.042714
730,20,3,0.009248484554911125,0.04720948455491113,Aalen-Johansen,0.037961
1095,20,1,-0.030179512064175795,0.8589714879358242,Aalen-Johansen,0.889151
1095,20,2,0.021411721472498237,0.07039972147249823,Aalen-Johansen,0.048988
1095,20,3,0.008767790591677316,0.07062879059167732,Aalen-Johansen,0.061861
1460,20,1,-0.024211523570914273,0.8422494764290858,Aalen-Johansen,0.866461
1460,20,2,0.004851084589233216,0.059690084589233215,Aalen-Johansen,0.054839
1460,20,3,0.01936043898168084,0.09806043898168083,Aalen-Johansen,0.07869999999999999
1825,20,1,-0.03631950591882538,0.8081264940811747,Aalen-Johansen,0.844446
1825,20,2,0.02052687157316726,0.08081687157316726,Aalen-Johansen,0.06029
1825,20,3,0.015792634345657863,0.11105663434565786,Aalen-Johansen,0.095264
365,21,1,-0.0013884365811056565,0.9481905634188943,Aalen-Johansen,0.949579
365,21,2,0.005384974846918633,0.038302974846918636,Aalen-Johansen,0.032918
